1;23;Masculino;de 2 a 3 salários mínimos;;;Ensino Médio Completo;;Matemática;3;3;3;3;4;80;90;95;81;79;95;88;98;85;94;87
2;17;Feminino;de 1 a 2 salários mínimos;;;Não sei informar;;Português;4;4;4;4;4;;100;70;80;90;90;80;80;100;100;80
3;18;Feminino;menos de 1 salário mínimo;;;Ensino Fundamental Completo;;História;3;2;4;4;2;70;60;80;90;80;90;90;100;100;90;80
4;18;Feminino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Biologia;4;2;2;2;4;100;90;60;100;90;80;70;80;100;100;100
5;18;Feminino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Química;3;3;4;4;2;70;70;70;90;80;100;80;80;70;70;70
6;18;Feminino;menos de 1 salário mínimo;Ensino Médio Completo;;Ensino Superior Completo;104;Português;4;4;2;4;1;75;80;60;60;70;80;100;70;60;80;90
7;20;Masculino;de 1 a 2 salários mínimos;Ensino Fundamental Completo;;Ensino Fundamental Completo;;20;2;4;3;3;;70;80;80;80;70;80;70;70;80;90;80
8;17;Masculino;de 2 a 3 salários mínimos;;;Ensino Médio Completo;;Matemática;3;3;4;4;4;65;65;99;80;95;100;95;100;75;100;100
9;18;Feminino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Português;4;4;2;2;;88;90;90;100;70;70;80;90;70;100;80
10;18;Masculino;menos de 1 salário mínimo;;;Ensino Superior Completo;94;Português;2;3;3;2;2;60;60;60;60;60;80;70;70;80;80;70
11;20;Masculino;de 2 a 3 salários mínimos;Ensino Fundamental Completo;;Ensino Superior Completo;104;História;4;4;2;;;80;60;70;60;70;100;80;90;100;100;100
12;16;Feminino;menos de 1 salário mínimo;Ensino Médio Completo;;Ensino Fundamental Completo;;Biologia;2;1;4;4;2;83;75;100;80;80;100;86;95;94;80;100
13;17;Masculino;mais de 3 salários mínimos;Ensino Médio Completo;77;Ensino Médio Completo;;História;4;4;4;3;;80;58;78;68;70;96;80;89;70;80;94
14;17;Feminino;de 1 a 2 salários mínimos;;;;;Matemática;4;2;4;3;;70;80;90;86;88;79;90;80;84;80;90
15;17;Feminino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;História;2;2;4;3;2;80;100;90;70;65;100;70;100;100;100;40
16;17;Feminino;menos de 1 salário mínimo;Ensino Médio Completo;;Ensino Médio Completo;;Química;3;2;3;4;4;85;80;85;98;80;80;90;90;70;100;100
17;19;Feminino;de 2 a 3 salários mínimos;Ensino Fundamental Completo;;Ensino Superior Completo;94;Português;2;2;2;2;4;90;70;80;70;70;80;80;70;90;90;90
18;18;Feminino;menos de 1 salário mínimo;Ensino Médio Completo;;Ensino Fundamental Completo;;Biologia;2;2;4;2;;90;83;80;82;87;87;87;93;78;85;80
19;16;Feminino;menos de 1 salário mínimo;Ensino Médio Completo;;Ensino Médio Completo;;Matemática;3;3;4;4;4;89;88;98;84;85;85;93;96;85;86;90
20;18;Feminino;menos de 1 salário mínimo;Ensino Superior Completo;41;Ensino Superior Completo;94;Matemática;3;3;2;4;2;100;90;100;90;80;100;100;100;100;90;80
